#assembly_accession,organism_name
GCA_027604085.1,Chytriomyces hyalinus
GCA_001599955.1,Cystobasidium pallidum
GCA_019775285.1,Cystobasidium slooffiae
GCA_012184535.1,Trichophyton kuryangei
GCA_002162575.1,Sclerotinia glacialis
GCA_025389085.1,Sclerotinia subarctica
GCA_017365405.1,Cadophora malorum
GCA_002162615.1,Myriosclerotinia duriaeana
GCA_900092665.1,Neoscytalidium dimidiatum
GCA_029298825.1,Ophiostoma quercus
GCA_001679825.1,Armillaria fuscipes
GCA_001481415.2,Sanghuangporus baumii
GCA_002794775.1,Porodaedalea pini
GCA_001792695.1,Aspergillus bombycis
GCA_003706365.1,Citeromyces siamensis
GCA_022578945.1,Hypoxylon fuscum
GCA_022578675.1,Nemania serpens
GCA_023014335.1,Galerina marginata
GCA_015501075.1,Gymnopilus junonius
GCA_015499995.1,Flammula alnicola
GCA_015484465.1,Pholiota conissans
GCA_003595275.1,Batrachochytrium dendrobatidis
GCA_027600665.1,Irineochytrium annulatum
GCA_027604685.1,Lobulomyces angularis
GCA_027601485.1,Geranomyces variabilis
GCA_025526995.1,Powellomyces hirtus
GCA_025558075.1,Gaertneriomyces semiglobifer
GCA_027603655.1,Entophlyctis luteolus
GCA_025526935.1,Cladochytrium replicatum
GCA_027596945.1,Physocladia obscura
GCA_025765595.1,Obelidium mucronatum
GCA_025602895.1,Polychytrium aggregatum
GCA_900069095.1,Tubaria furfuracea
GCA_028566595.1,Hypoxylon subgilvum
GCA_022496955.1,Ustulina deusta
GCA_022695795.1,Biscogniauxia marginata
GCA_029590615.1,Nemania bipapillata
GCA_028566675.1,Hypoxylon intermedium
GCA_022578595.1,Hypoxylon rubiginosum
GCA_028571165.1,Hypoxylon perforatum
GCA_902806535.1,Hypoxylon rickii
GCA_022497155.1,Whalleya microplaca
GCA_022578605.1,Camillea tinctor
GCA_002441625.1,Lecanosticta acicola
GCA_021527775.1,Lactarius sanguifluus
GCA_015025155.1,Lactarius quietus
GCA_020360975.1,Hirsutella rhossiliensis
GCA_904859945.1,Alectoria sarmentosa
GCA_023065455.1,Cladonia rangiferina
GCA_017591655.1,Thielaviopsis populi
GCA_001599435.1,Chalaropsis thielavioides
GCA_006503535.1,Arthrinium phaeospermum
GCA_933962305.1,Kazachstania bulderi
GCA_014066305.1,Letharia columbiana
GCA_015179125.1,Gautieria morchelliformis
GCA_001510955.1,Ramularia collo-cygni
GCA_015039355.1,Ramaria rubella
GCA_001578225.1,Pseudocercospora musae
GCA_003313625.1,Tricholoma saponaceum
GCA_030557565.1,Tetrapisispora arboricola
GCA_003705975.2,Tetrapisispora iriomotensis
GCA_030568035.1,Tetrapisispora nanseiensis
GCA_030570595.1,Tetrapisispora phaffii
GCA_002233915.1,Fusarium oxysporum f. sp. gladioli
GCA_004307915.1,Dichomitus squalens
GCA_018287875.1,Nigrospora sphaerica
GCA_918282095.1,Saccharomyces kudriavzevii
GCA_918250775.1,Saccharomyces mikatae
GCA_001510575.1,Knoxdaviesia capensis
GCA_016097115.2,Sporothrix protearum
GCA_022497035.1,Daldinia vernicosa
GCA_022495125.1,Xylaria acuta
GCA_022385695.1,Xylaria arbuscula
GCA_022495115.1,Xylaria castorea
GCA_022385715.1,Xylaria cubensis
GCA_003426265.1,Xylaria longipes
GCA_001600175.1,Erythrobasidium yunnanense
GCA_003708145.3,[Candida] orba
GCA_020351975.1,Phyllosticta ampelicida
GCA_016647745.1,Suillus plorans
GCA_905337345.1,Heterodermia speciosa
GCA_018902385.1,Physcia stellaris
GCA_028826755.1,Penicillium angulare
GCA_013368375.1,Tricholomella constricta
GCA_018850815.1,Asterophora lycoperdoides
GCA_018282005.1,Asterophora parasitica
GCA_900068955.1,Clitocybe nebularis
GCA_014905825.1,Lyophyllum atratum
GCA_018221655.1,Myochromella boudieri
GCA_018282025.1,Sphagnurus paluster
GCA_018850235.1,Tephrocybe rancida
GCA_023213265.1,Ustilago tritici
GCA_009428295.1,Tilletia walkeri
GCA_003316995.2,Fusarium verticillioides
GCA_022225965.1,Diatrype stigma
GCA_006535965.1,Spizellomyces sp. 'palustris'
GCA_032354635.1,Beauveria brongniartii
GCA_003833135.1,Oehlia diaphana
GCA_017589455.1,Alternaria tenuissima
GCA_004380135.1,Stemphylium vesicarium
GCA_907166805.1,Alternaria atra
GCA_900519145.1,Ustilago hordei
GCA_002234115.1,Fusarium oxysporum f. sp. lilii
GCA_019670985.1,Fusarium oxysporum f. sp. lini
GCA_025203045.1,Fusarium oxysporum f. sp. tulipae
GCA_013347525.1,Fusarium oxysporum f. sp. spinaciae
GCA_002234185.1,Fusarium oxysporum f. sp. lagenariae
GCA_002234085.1,Fusarium oxysporum f. sp. melongenae
GCA_001702505.1,Fusarium oxysporum f. sp. niveum
GCA_013186935.1,Fusarium thapsinum
GCA_001680515.1,Fusarium phaseoli
GCA_003316335.1,Xerocomus impolitus
GCA_025203065.1,Fusarium oxysporum f. sp. basilici
GCA_030462875.1,Grigorovia humatica
GCA_025531645.1,Pichia manshurica
GCA_030573815.1,Kurtzmaniella cleridarum
GCA_030568915.1,Starmerella powellii (nom. inval.)
GCA_030566755.1,Starmerella tilneyi (nom. inval.)
GCA_022609205.1,Neofusicoccum laricinum
GCA_001604925.1,Phyllosticta capitalensis
GCA_013368755.1,Talaromyces rugulosus
GCA_001713645.1,Paracoccidioides brasiliensis
GCA_002742065.1,Cercospora beticola
GCA_013396255.1,Fusarium sp. NRRL 25303
GCA_018360225.1,Claviceps pusilla
GCA_010725545.3,Lepista sordida
GCA_003671435.1,Berkeleyomyces basicola
GCA_024341135.1,Tolypocladium album
GCA_028826915.1,Penicillium bovifimosum
GCA_021029095.1,Phellopilus nigrolimitatus
GCA_011392495.1,Talaromyces pinophilus
GCA_023628035.1,Cutaneotrichosporon dermatis
GCA_019425465.1,Colletotrichum falcatum
GCA_022813945.1,Trapelia coarctata
GCA_003025255.1,Cordyceps pruinosa
GCA_930272545.1,Sphaerostilbella broomeana
GCA_003706395.2,Danielozyma ontarioensis
GCA_003708705.1,[Candida] tammaniensis
GCA_030572515.1,[Candida] trypodendri
GCA_030567675.1,[Candida] arabinofermentans
GCA_031125475.1,Saccharomycopsis lassenensis
GCA_003708295.3,Cyberlindnera mycetangii
GCA_030569675.1,[Candida] ulmi
GCA_003707745.2,Cyberlindnera misumaiensis
GCA_003666085.1,Pseudocercospora crystallina
GCA_003947045.1,Fusarium ambrosium
GCA_013623515.1,Fusarium illudens
GCA_003316565.1,Russula foetens
GCA_019202945.1,Corynespora olivacea
GCA_030784025.1,Akanthomyces dipterigenus
GCA_026120055.1,Cercospora apii
GCA_030324235.1,Aspergillus pseudotamarii
GCA_002851675.1,Verticillium nubilum
GCA_030411675.1,Lecanicillium aphanocladii
GCA_003097675.1,Smittium angustum
GCA_003086715.1,Smittium megazygosporum
GCA_001953115.1,Smittium mucronatum
GCA_003086735.1,Smittium simulii
GCA_001970865.1,Smittium culicis
GCA_004681135.1,Hericium alpestre
GCA_028751805.1,Podosphaera xanthii
GCA_030581755.1,Crinitomyces ghanaensis
GCA_030574875.1,[Candida] peoriensis
GCA_003706755.2,[Candida] ponderosae
GCA_001599795.1,Exophiala calicioides
GCA_024195185.1,Coniferiporia weirii
GCA_023512815.1,Cercospora zeae-maydis
GCA_002370915.1,Metschnikowia lochheadii
GCA_002893705.1,Metschnikowia drosophilae
GCA_022315165.1,Pseudevernia furfuracea
GCA_000938525.1,Lasallia pustulata
GCA_021396225.1,Sporothrix inflata
GCA_022606235.1,Abortiporus biennis
GCA_027569665.1,Aspergillus bridgeri
GCA_030674015.1,Aspergillus melleus
GCA_000986665.1,Aspergillus ochraceoroseus
GCA_025592935.1,Aspergillus ostianus
GCA_000530345.1,Aspergillus sclerotiorum
GCA_009193565.1,Aspergillus coremiiformis
GCA_015501055.1,Mucidula mucida
GCA_001179705.1,Baeospora myosura
GCA_015179045.1,Kalaharituber pfeilii
GCA_015179025.1,Terfezia claveryi
GCA_022376445.1,Neoantrodia serialis
GCA_001792895.1,Polyporus brumalis
GCA_014898285.1,Botrytis aclada
GCA_014898485.2,Botrytis squamosa
GCA_014898295.1,Botrytis byssoidea
GCA_003851025.1,Sparassis crispa
GCA_030555795.1,Starmerella sorbosivorans
GCA_003316085.1,Caloboletus calopus
GCA_020906515.1,Vanrija pseudolonga
GCA_001297265.1,Mycosphaerella arachidis
GCA_023509875.1,Rugonectria rugulosa
GCA_910591945.1,Ambispora gerdemannii
GCA_910592345.1,Paraglomus brasilianum
GCA_910592205.1,Paraglomus occultum
GCA_019804575.2,Pseudotulostoma volvatum
GCA_910591765.1,Ambispora leptoticha
GCA_026262435.1,Curvularia spicifera
GCA_023278565.1,Colletotrichum lupini
GCA_027605045.1,Dictyophora indusiata
GCA_001432165.1,Pseudoloma neurophilia
GCA_030568655.1,Suhomyces prunicola
GCA_003706505.3,Suhomyces pyralidae
GCA_030568575.1,Suhomyces ambrosiae
GCA_030568635.1,[Candida] caryicola
GCA_003706525.2,Suhomyces canberraensis
GCA_030568675.1,Suhomyces xylopsoci
GCA_027579565.1,Coemansia erecta
GCA_010015675.1,Byssothecium circinans
GCA_009982845.1,Delphinella strobiligena
GCA_030572475.1,Martiniozyma asiatica
GCA_030578795.1,Debaryomyces prosopidis
GCA_944952825.1,Pyricularia grisea
GCA_019775655.1,[Candida] anglica
GCA_030574815.1,[Candida] germanica
GCA_030557875.1,Candida neerlandica
GCA_004325065.1,Hamiltosporidium magnivora
GCA_001500285.1,Mollisia scopiformis
GCA_002179835.1,Calonectria leucothoes
GCA_002374795.1,Metschnikowia arizonensis
GCA_030561785.1,[Candida] ortonii
GCA_030674355.1,Metschnikowia orientalis
GCA_001278495.1,Escovopsis weberi
GCA_030563145.1,Schwanniomyces polymorphus var. africanus
GCA_015178975.1,Hysterangium stoloniferum
GCA_023645945.1,Diploschistes diacapsis
GCA_030568845.1,[Candida] galis
GCA_022984865.1,Hypomontagnella submonticulosa
GCA_020726525.1,Truncatella angustata
GCA_002234205.1,Fusarium hostae
GCA_963281095.1,Lactarius tabidus
GCA_015178925.1,Russula emetica
GCA_003316425.1,Russula lepida
GCA_015178965.1,Russula ochroleuca
GCA_029281405.1,Mycena pura
GCA_030407015.1,Armillaria fumosa
GCA_030435615.1,Armillaria luteobubalina
GCA_030435655.1,Armillaria novae-zelandiae
GCA_027886345.1,Lentinula raphanica
GCA_028011355.1,Lentinula aciculospora
GCA_001657655.1,Talaromyces piceae
GCA_022814645.1,Ganoderma meredithae
GCA_001895945.1,Trametes pubescens
GCA_003313825.1,Sarcodon aspratus
GCA_030462655.1,Tilletia horrida
GCA_004154925.1,Monosporascus cannonballus
GCA_004154915.1,Monosporascus ibericus
GCA_019925595.1,Grosmannia huntii
GCA_029299265.1,Leptographium wageneri
GCA_029299245.1,Leptographium wingfieldii
GCA_017871115.1,Cunninghamella blakesleeana
GCA_030568155.1,[Candida] suzukii
GCA_013282825.1,Alternaria arborescens
GCA_009428275.1,Tilletia laevis
GCA_030567555.1,Kuraishia hungarica
GCA_003707685.2,Ogataea pilisensis
GCA_963422465.1,Lichina pygmaea
GCA_001600095.1,Bullera alba
GCA_001006345.1,Phaeomoniella chlamydospora
GCA_025201895.1,Trametes sanguinea
GCA_001702395.2,Diaporthe helianthi
GCA_013387415.1,Panellus pusillus
GCA_902141235.2,Clonostachys solani
GCA_902006505.2,Clonostachys byssicola
GCA_902077795.2,Clonostachys rhizophaga
GCA_019059555.1,Alternaria longipes
GCA_910592285.1,Racocetra persica
GCA_015179035.1,Tirmania nivea
GCA_022606055.1,Trametes gibbosa
GCA_024340155.1,Tolypocladium pustulatum
GCA_022813925.1,Varicellaria rhodocarpa
GCA_010093825.1,Teratosphaeria nubilosa
GCA_032158265.1,Bacidia rubella
GCA_025766005.1,Aspergillus nidulans
GCA_003988815.1,Chlorencoelia torta
GCA_030770535.1,Conidiobolus obscurus
GCA_031472005.1,Tetracladium setigerum
GCA_026023695.1,Chaenotheca gracillima
GCA_014805555.1,Thelohania contejeani
GCA_030569435.1,Metschnikowia koreensis
GCA_003049465.1,Magnaporthiopsis rhizophila
GCA_003049435.1,Nakataea oryzae
GCA_003033605.1,Zygosaccharomyces kombuchaensis
GCA_001430925.1,Byssoonygena ceratinophila
GCA_000235945.1,Homolaphlyctis polyrhiza JEL 142
GCA_022828445.1,Graphiopsis chlorocephala
GCA_021219475.1,Cladosporium cucumerinum
GCA_024703775.1,Inonotus obliquus
GCA_003263905.1,Phellinidium pouzarii
GCA_005188305.1,Xylaria sp. BCC 1067
GCA_022345445.1,Alternaria gaisen
GCA_021901695.1,Puccinia striiformis f. sp. tritici
GCA_030563925.1,Wickerhamiella sergipiensis
GCA_028828555.1,Penicillium taxi
GCA_023634365.1,Tilletia setariae
GCA_027405785.1,Ophiocordyceps robertsii
GCA_022814125.1,Pseudocyphellaria aurata
GCA_019320015.1,Fusarium solani
GCA_001600775.1,Malassezia dermatis
GCA_030568015.1,Ogataea dorogensis
GCA_023212875.1,Komagataella pseudopastoris
GCA_003706095.2,Ogataea trehaloabstinens
GCA_003709205.3,Ogataea zsoltii
GCA_943846425.1,Phakopsora pachyrhizi
GCA_029298975.1,Ophiostoma novo-ulmi subsp. americana
GCA_029298955.1,Ophiostoma novo-ulmi subsp. novo-ulmi
GCA_016906575.1,Ceratobasidium sp. AG-Ba
GCA_000729855.1,Epichloe aotearoae
GCA_003316525.1,Termitomyces eurrhizus
GCA_015039465.1,Phlegmacium glaucopus
GCA_023184605.1,Dermatocarpon miniatum
GCA_905337355.1,Imshaugia aleurites
GCA_030412595.1,Pestalotiopsis neglecta
GCA_947623575.2,Cladonia squamosa
GCA_002927785.1,Cladonia uncialis
GCA_026054655.1,Lichina confinis
GCA_002370735.1,Metschnikowia dekortorum
GCA_004324935.1,Ordospora colligata
GCA_002794785.1,Coniferiporia sulphurascens
GCA_024703735.1,Sanghuangporus vaninii
GCA_027569075.1,Aspergillus asperescens
GCA_027569045.1,Aspergillus biplanus
GCA_027569065.1,Aspergillus cavernicola
GCA_027569885.1,Aspergillus diversus
GCA_027569145.1,Aspergillus funiculosus
GCA_028828445.1,Penicillium paradoxum
GCA_010099065.1,Beauveria bassiana
GCA_002995475.1,Rhizopogon salebrosus
GCA_003635345.1,Coniochaeta pulveracea
GCA_030556695.1,Metschnikowia fructicola
GCA_024509395.1,Pisolithus albus
GCA_024613145.1,Pisolithus marmoratus
GCA_024613185.1,Pisolithus microcarpus
GCA_010065295.1,Cryptococcus neoformans var. grubii
GCA_002233865.1,Fusarium oxysporum f. sp. momordicae
GCA_013365205.1,Pseudocercospora cruenta
GCA_900634815.1,Paradendryphiella salina
GCA_004802535.1,Cryphonectria macrospora
GCA_015657495.1,Crepidotus variabilis
GCA_018104275.1,Fusarium langsethiae
GCA_002995115.1,Rhizopogon vesiculosus
GCA_001265015.1,Malassezia nana
GCA_014839905.1,Aphanoascus verrucosus
GCA_000812245.1,Onygena corvina
GCA_023757985.1,Alternaria ethzedia
GCA_024043145.1,Alternaria conjuncta
GCA_003724095.1,Austropuccinia psidii
GCA_018924745.1,Marasmius oreades
GCA_002335585.1,Cutaneotrichosporon daszewskae
GCA_002335605.1,Prillingera fragicola
GCA_002995175.1,Rhizopogon rudus
GCA_004369065.1,Pluteus cervinus
GCA_030567535.1,Kuraishia floccosa
GCA_017499595.2,Psilocybe cubensis
GCA_027604815.1,Psilocybe subaeruginosa
GCA_002938355.1,Panaeolus cyanescens
GCA_018851305.1,Calocybe cyanea
GCA_900068915.1,Megacollybia platyphylla
GCA_001179725.1,Macrocystidia cucumis
GCA_013368315.1,Tetrapyrgos nigripes
GCA_015147945.1,Botrytis fabae
GCA_001599875.1,Aspergillus chevalieri
GCA_014622035.1,Calonectria ilicicola
GCA_003031705.1,Calonectria naviculata
GCA_020975415.1,Calonectria hawksworthii
GCA_003268315.1,Stemphylium lycopersici
GCA_012977745.1,Fusarium anguioides
GCA_018257855.2,Cladonia borealis
GCA_010015605.1,Decorospora gaudefroyi
GCA_000819925.1,Ustilago esculenta
GCA_006503525.1,Cryphonectria nitschkei
GCA_028826845.1,Penicillium canariense
GCA_030572615.1,Metschnikowia lachancei
GCA_003315915.1,Macrolepiota dolichaula
GCA_022813615.1,Knufia fluminis
GCA_013186845.1,Fusarium sterilihyphosum
GCA_900044065.1,Fusarium mangiferae
GCA_006992865.1,Cryptococcus neoformans AD hybrid
GCA_001682475.1,Agaricus bisporus var. bisporus
GCA_014872705.1,Agaricus bisporus var. burnettii
GCA_027627325.1,Phlebia brevispora
GCA_013363125.1,Fusarium falciforme
GCA_004382225.1,Calonectria pseudonaviculata
GCA_001566295.1,Microdochium bolleyi
GCA_000787455.1,Evansstolkia leycettana
GCA_030557735.1,Yarrowia galli
GCA_030579175.1,Metschnikowia hawaiiana
GCA_002370135.1,Metschnikowia kipukae
GCA_002374485.1,Metschnikowia santaceciliae
GCA_001305275.1,Talaromyces verruculosus
GCA_020976775.1,Coccidioides posadasii
GCA_032158125.1,Papiliotrema nemorosus
GCA_002873125.1,Puccinia coronata f. sp. avenae
GCA_931303985.1,Torulaspora maleeae
GCA_023014365.1,Lepiota brunneoincarnata
GCA_013368445.1,Leucoagaricus leucothites
GCA_017657335.1,Termitomyces titanicus
GCA_022376435.1,Amylocystis lapponica
GCA_013365115.1,Trichoderma erinaceum
GCA_008802775.1,Taphrina betulina
GCA_005281535.1,Taphrina confusa
GCA_028828005.1,Penicillium manginii
GCA_023212835.1,Pseudozyma thailandica
GCA_023212605.1,Moesziomyces parantarcticus
GCA_030280995.1,Hemileia vastatrix
GCA_016097315.1,Ascochyta lentis
GCA_022496205.1,Gloeopeniophorella convolvens
GCA_004679275.1,Dentipellis fragilis
GCA_020891255.1,Entomortierella parvispora
GCA_015501585.1,Rhodocollybia butyracea
GCA_002225475.1,Knufia petricola
GCA_002994785.1,Heterobasidion parviporum
GCA_900079645.1,Cryptococcus sp. 05/00
GCA_019358815.1,Puccinia triticina
GCA_022813995.1,Thelotrema lepadinum
GCA_937900895.1,Thermochaetoides thermophila
GCA_937873075.1,uncultured Hypocreales
GCA_009193605.1,Aspergillus alliaceus
GCA_019908695.1,Psilocybe tampanensis
GCA_010015745.1,Setomelanomma holmii
GCA_937859215.1,Hanseniaspora opuntiae
GCA_030370665.1,Hanseniaspora meyeri
GCA_004919765.1,Hanseniaspora lachancei
GCA_003706385.1,Hanseniaspora clermontiae
GCA_003116915.1,Takashimella tepidaria
GCA_003610855.1,Erysiphe neolycopersici
GCA_000836275.1,Exophiala mesophila
GCA_000091045.1,Cryptococcus neoformans var. neoformans JEC21
GCA_015295565.1,Exophiala oligosperma
GCA_003144295.1,Acaromyces ingoldii
GCA_003501935.1,Parastagonospora avenae f. sp. avenae
GCA_007821535.1,Lachnellula occidentalis
GCA_007825375.1,Lachnellula willkommii
GCA_024114885.1,Septoria linicola
GCA_027576995.1,Dimargaris cristalligena
GCA_022609215.1,Alternaria triticina
GCA_003315845.1,Lactarius trivialis
GCA_015881745.1,Pseudopestalotiopsis theae
GCA_002968875.1,Cordyceps cicadae
GCA_003013035.1,Ophiognomonia clavigignenti-juglandacearum
GCA_030573245.1,Ascobotryozyma americana
GCA_030565755.1,Ascobotryozyma cognata
GCA_022343325.1,Plenodomus biglobosus
GCA_029281795.1,Mycena crocata
GCA_001466705.2,Moniliophthora roreri
GCA_018296265.1,Fusarium xylarioides
GCA_030567085.1,[Candida] ubatubensis
GCA_003313985.1,Lactarius indigo
GCA_000151335.1,Coccidioides posadasii C735 delta SOWgp
GCA_022814105.1,Ptychographa xylographoides
GCA_022813765.1,Xylographa vitiligo
GCA_001600795.1,Malassezia japonica
GCA_030570855.1,[Candida] digboiensis
GCA_030566905.1,[Candida] aurita
GCA_030566955.1,[Candida] anutae
GCA_028220655.1,Shiraia bambusicola
GCA_016584495.1,Celoporthe dispersa
GCA_014843455.1,Fusarium oxysporum f. sp. apii
GCA_900465125.1,Plenodomus biglobosus/Leptosphaeria biglobosa 'brassicae' group
GCA_900465115.1,Plenodomus lingam/Leptosphaeria maculans 'brassicae' group
GCA_002918395.1,Erysiphe pulchra
GCA_030562965.1,Starmerella ratchasimensis
GCA_013618395.1,Fusarium domesticum
GCA_000166955.1,Saccharomyces paradoxus NRRL Y-17217
GCA_947241705.1,Saccharomyces mikatae IFO 1815
GCA_947243775.1,Saccharomyces kudriavzevii IFO 1802
GCA_000167015.1,Naumovozyma castellii NRRL Y-12630
GCA_000149225.2,Lachancea kluyveri NRRL Y-12651
GCA_026120085.1,Cadophora luteo-olivacea
GCA_000011425.1,Aspergillus nidulans FGSC A4
GCA_030572675.1,Zygosaccharomyces pseudorouxii (nom. ined.)
GCA_937902615.1,uncultured Tremellales
GCA_022609365.1,Mycocentrospora acerina
GCA_029467795.1,Pleurotus eryngii var. ferulae
GCA_002233555.1,Limonomyces culmigenus
GCA_000240135.3,Fusarium graminearum PH-1
GCA_001278595.1,Penicillium nordicum
GCA_001950455.1,Alternaria consortialis
GCA_029299015.1,Ophiostoma montium
GCA_000732305.1,Saccharomyces uvarum
GCA_029449255.1,Mycena polygramma
GCA_029204075.1,Mycena capillaripes
GCA_029281465.1,Mycena epipterygia
GCA_029281435.1,Mycena haematopus
GCA_029378395.1,Mycena leptocephala
GCA_029448575.1,Mycena maculata
GCA_029378375.1,Mycena olivaceomarginata
GCA_014462675.1,Mycena sanguinolenta
GCA_004369085.1,Coprinopsis marcescibilis
GCA_019775505.1,Leucosporidium yakuticum
GCA_003316985.1,Fusarium coffeatum
GCA_002938385.1,Gymnopilus dilepis
GCA_016880775.1,Phymatotrichopsis omnivora
GCA_001680535.1,Fusarium tucumaniae
GCA_001680525.1,Fusarium virguliforme
GCA_024043155.1,Alternaria arbusti
GCA_030572155.1,Suhomyces taliae
GCA_030568515.1,Suhomyces guaymorum
GCA_030570035.1,Kodamaea derodonti
GCA_030574295.1,Kodamaea arcana
GCA_001680685.1,Fusarium brasiliense
GCA_001680505.1,Fusarium cuneirostrum
GCA_000149245.3,Cryptococcus neoformans var. grubii H99
GCA_001883845.1,Diplodia corticola
GCA_000182965.3,Candida albicans SC5314
GCA_000328475.2,Ustilago maydis 521
GCA_002270565.1,Stenocarpella maydis
GCA_022606195.1,Trametes polyzona
GCA_000182895.1,Coprinopsis cinerea okayama7#130
GCA_900188565.1,Geosmithia flava
GCA_023088305.1,Dothiorella sarmentorum
GCA_009828645.1,Calcarisporium arbuscula
GCA_030558855.1,Blastobotrys indianensis
GCA_019359905.1,Candida africana
GCA_002157005.1,Melampsora allii-populina
GCA_000002495.2,Pyricularia oryzae 70-15
GCA_023375675.1,Valsa friesii
GCA_002234105.1,Fusarium oxysporum f. sp. luffae
GCA_022814045.1,Sticta canariensis
GCA_004918015.1,Wallemia ichthyophaga
GCA_003545705.1,Acidomyces sp. 'richmondensis'
GCA_010093505.1,Neohortaea acidophila
GCA_030574995.1,Suhomyces maxii
GCA_003707835.3,Suhomyces emberorum
GCA_030571845.1,Suhomyces yuchorum
GCA_030568475.1,Suhomyces choctaworum
GCA_030568535.1,Suhomyces anneliseae
GCA_030568555.1,Suhomyces bolitotheri
GCA_030582475.1,Suhomyces panamericanus
GCA_030568495.1,Suhomyces chickasaworum
GCA_030568615.1,Suhomyces bokatorum
GCA_030561385.1,Suhomyces bribrorum
GCA_030582495.1,Suhomyces terraborum
GCA_030561465.1,Suhomyces kunorum
GCA_030568695.1,Suhomyces wounanorum
GCA_030561405.1,Suhomyces atakaporum
GCA_030574315.1,Ogataea siamensis
GCA_030582815.1,[Candida] krabiensis
GCA_030564825.1,[Candida] sithepensis
GCA_006535975.1,Chytriomyces confervae
GCA_000149305.1,Rhizopus delemar RA 99-880
GCA_000149335.2,Coccidioides immitis RS
GCA_013623845.1,Fusarium foetens
GCA_003012085.1,Trichoderma brevicompactum
GCA_018360075.1,Claviceps cyperi
GCA_001599515.1,Fusarium commune
GCA_014826065.1,Anthracocystis panici-leucophaei
GCA_024271935.1,Ustilago crameri
GCA_928722275.1,Ustilago vetiveriae
GCA_001736075.1,Ustilago xerochloae
GCA_031081965.1,Schwanniomyces polymorphus var. polymorphus
GCA_030512295.1,Bombardia bombarda
GCA_030685235.1,Copromyces sp. CBS 386.78
GCA_001413975.1,Saccharomyces boulardii (nom. inval.)
GCA_003795275.1,Valsa sordida
GCA_013177335.1,Apiotrichum mycotoxinovorans
GCA_001399465.1,Hymenoscyphus scutula
GCA_001414485.1,Hymenoscyphus herbarum
GCA_001264885.1,Malassezia yamatoensis
GCA_013620735.1,Clavariopsis aquatica
GCA_003415645.1,Articulospora tetracladia
GCA_000836295.1,Verruconis gallopava
GCA_001642475.1,Fonsecaea monophora
GCA_030564265.1,Blastobotrys attinorum
GCA_015585975.1,Penicillium dipodomyicola
GCA_002072365.1,Penicillium flavigenum
GCA_018360205.1,Claviceps digitariae
GCA_030563005.1,[Candida] qinlingensis
GCA_030579195.1,[Candida] diospyri
GCA_030573135.1,[Candida] asparagi
GCA_004028395.1,Leptographium galeiforme
GCA_002909645.1,Monilinia polystroma
GCA_030564445.1,Kodamaea leandrae
GCA_020744415.1,Dendryphion nanum
GCA_029948375.1,Ramalina farinacea
GCA_002157035.1,Melampsora medusae f. sp. deltoidis
GCA_022376545.1,Russula dissimulans
GCA_022606215.1,Trametes maxima
GCA_030561035.1,Wickerhamiella bombiphila
GCA_028566015.1,Echinosphaeria canescens
GCA_030549175.1,Lasiosphaeris hirsuta
GCA_027600675.1,Phlyctochytrium planicorne
GCA_027604185.1,Boothiomyces macroporosus
GCA_030556465.1,Metschnikowia picachoensis
GCA_030674525.1,Metschnikowia chrysoperlae
GCA_030556455.1,Metschnikowia pimensis
GCA_023014455.1,Amanita exitialis
GCA_023646375.1,Xanthoria aureola
GCA_000167115.1,Lachancea waltii NCYC 2644
GCA_951802415.1,Clavaria fumosa
GCA_003314125.1,Hygrophorus russula
GCA_001430955.1,Chrysosporium queenslandicum
GCA_014706385.1,Phaffia rhodozyma
GCA_015266405.1,Paecilomyces variotii
GCA_014925865.1,[Paecilomyces] penicillatus
GCA_020080795.1,Trichoglossum hirsutum
GCA_023653615.1,Apiotrichum siamense
GCA_016618355.2,Astraeus odoratus
GCA_003705765.3,Blastobotrys mokoenaii
GCA_030563605.1,Yamadazyma paraphyllophila
GCA_028829835.1,Penicillium mononematosum
GCA_003706575.2,Teunomyces cretensis
GCA_001272575.2,Ophiocordyceps unilateralis
GCA_022702645.1,Microbotryum intermedium
GCA_022702545.1,Phycomyces nitens
GCA_023273805.1,Exobasidium cylindrosporum
GCA_028408415.1,Kazachstania aerobia
GCA_030705055.1,Kodamaea plutei
GCA_030558845.1,Kodamaea laetipori
GCA_030705235.1,Spathaspora jeffriesii
GCA_030572395.1,[Candida] michaelii
GCA_030574835.1,[Candida] cerambycidarum
GCA_030582795.1,Metschnikowia chrysomelidarum
GCA_030582775.1,[Candida] endomychidarum
GCA_003708985.3,[Candida] gorgasii
GCA_030557085.1,Candida gigantensis
GCA_030569875.1,Nakaseomyces bracarensis
GCA_026026165.1,Sarea resinae
GCA_025767575.1,Candida orthopsilosis
GCA_017655625.1,Candida metapsilosis
GCA_000167175.1,Phanerochaete chrysosporium RP-78
GCA_007674295.1,Antonospora locustae
GCA_023309525.1,Kazachstania bovina
GCA_950065675.1,Kazachstania pintolopesii
GCA_030674295.1,Kazachstania heterogenica
GCA_017347545.2,Kazachstania slooffiae
GCA_032882995.1,Schizosaccharomyces versatilis
GCA_017911155.1,Olpidium bornovanus
GCA_030555835.1,Metschnikowia bicuspidata var. californica
GCA_030556055.1,Metschnikowia bicuspidata var. chathamia
GCA_024478385.1,Botrytis elliptica
GCA_004916875.1,Botrytis galanthina
GCA_014898425.1,Botryotinia globosa
