GRCh38,"NC_000001.11 Homo sapiens chromosome 1, GRCh38.p14 Primary Assembly"
GCA_002749535.1,"MZZL01000001.1 Apophysomyces variabilis strain NCCPF 102052 102-52_Scaffold_1, whole genome shotgun sequence"
GCA_002749545.1,"LOBO01000001.1 Xylaria striata strain RK1-1 110960, whole genome shotgun sequence"
GCA_002760635.1,"AYKW01000001.1 Ganoderma sinense ZZ0214-1 GanSi1.6scf_1, whole genome shotgun sequence"
GCA_002762355.2,"CM040508.1 Puccinia graminis f. sp. tritici isolate RKQQC chromosome 1E, whole genome shotgun sequence"
GCA_002775195.1,"NHZS01000001.1 Talaromyces adpressus strain CBS 142503 Contig0000001, whole genome shotgun sequence"
GCA_002776505.1,"PEJQ01000008.1 Ceratocystis cacaofunesta strain C1593 scaffold1, whole genome shotgun sequence"
GCA_002777955.1,"PCDF01000414.1 Raffaelea sp. RL272 RLPL1004_mtDNA, whole genome shotgun sequence"
GCA_002778035.1,"PCDO01000038.1 Ambrosiella xylebori strain CBS 110.61 Axyl.mtDNA_106673, whole genome shotgun sequence"
GCA_002778055.1,"PCDD01000156.1 Dryadomyces sulphureus strain CBS 380.68 Mt.DNA.SSPACE.size128408, whole genome shotgun sequence"
GCA_002778075.1,"PCDK01000001.1 Grosmannia penicillata strain CBS 134055 Gpen_0, whole genome shotgun sequence"
GCA_002778095.1,"PCDL01000001.1 Fragosphaeria purpurea strain CBS 133.34 Cpurp_0, whole genome shotgun sequence"
GCA_002778105.1,"PCDN01000200.1 Ceratocystiopsis brevicomis strain CBS 137839 Cbrv.rDNA.6551bp, whole genome shotgun sequence"
GCA_002778125.1,"PCDE01000019.1 Dryadomyces quercivorus strain CBS 122982 Rquer_0, whole genome shotgun sequence"
GCA_002778145.1,"PCDG01000207.1 Harringtonia lauricola strain RL570 RL570.rDNA.Velvet, whole genome shotgun sequence"
GCA_002778165.1,"PCDH01000124.1 Raffaelea arxii strain CBS 273.70 Rx.mtGenome_size_95042, whole genome shotgun sequence"
GCA_002778195.1,"PCDI01000067.1 Raffaelea ambrosiae strain CBS 185.64 Rambro.MtDNA.89381bp, whole genome shotgun sequence"
GCA_002778215.1,"PCDM01000001.1 Esteya vermicola strain CBS 115803 Estey_1, whole genome shotgun sequence"
GCA_002778245.1,"PCDJ01000007.1 Raffaelea albimanens strain CBS 271.70 Ralb_0, whole genome shotgun sequence"
GCA_002785985.1,"NHNU01000001.1 Microcyclosporella mali strain UMD1a scaffold1-size2089032, whole genome shotgun sequence"
GCA_002785995.1,"NHNV01000001.1 Mycosphaerelloides madeirae strain CBS 112895 scaffold1-size1797980, whole genome shotgun sequence"
GCA_002786025.1,"NHNW01000001.1 Zasmidium citrigriseum strain CBS 116366 scaffold1-size1847643, whole genome shotgun sequence"
GCA_002786045.1,"NHNX01000001.1 Zasmidium angulare strain GA2-2.7B1a scaffold1-size2522974, whole genome shotgun sequence"
GCA_002786065.1,"NHNY01000001.1 Microcyclospora pomicola strain SP1-49Fa scaffold1-size2538680, whole genome shotgun sequence"
GCA_002794465.1,"MTSL01000031.1 Paramicrosporidium saccamoebae strain KSL3 NODE_1008_length_13092_cov_59.532921, whole genome shotgun sequence"
GCA_002794735.1,"NBAZ01000001.1 Phellinus lamaoensis strain FFPRI411162 PLAF.scaff0001, whole genome shotgun sequence"
GCA_002794775.1,"NBAY01000001.1 Porodaedalea pini strain BCRC 35384 PPIT.scaff0001, whole genome shotgun sequence"
GCA_002794785.1,"NBBA01000001.1 Coniferiporia sulphurascens strain FP133613(A)Sp PWET.scaff0001, whole genome shotgun sequence"
GCA_002796755.1,"PHFE01000133.1 Lecanicillium psalliotae strain HWLR35 C4731, whole genome shotgun sequence"
GCA_002803225.1,"NXFV01000167.1 Gamarada debralockiae strain T6G9 NODE_1024.10_length_74840_cov_205.297470, whole genome shotgun sequence"
GCA_002812735.1,"PGIR01000001.1 Scedosporium dehoogii strain 120008799-01/4 ScedDe_120008799.01.4_contig001, whole genome shotgun sequence"
GCA_002812745.2,"NCSJ02000100.1 Scytalidium lignicola strain DSM 105466 Contig_100_, whole genome shotgun sequence"
GCA_002818225.1,"KZ454987.1 Malassezia sp. JP-2017 strain NWHC:44797-103 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence"
GCA_002844615.2,"MVDW02000015.1 Cercospora zeina strain CMW25467 Czeina_000000F, whole genome shotgun sequence"
GCA_002846915.2,"MSFN02000001.1 Aspergillus ochraceoroseus IBT 24754 P175scaffold_1, whole genome shotgun sequence"
GCA_002847045.1,"KZ559117.1 Aspergillus candidus strain CBS 102.13 unplaced genomic scaffold BDW47scaffold_1, whole genome shotgun sequence"
GCA_002847465.1,"MSZS01000001.1 Aspergillus novofumigatus IBT 16806 P174scaffold_1, whole genome shotgun sequence"
GCA_002847485.1,"MSFM01000001.1 Aspergillus campestris IBT 28561 P168scaffold_1, whole genome shotgun sequence"
GCA_002849105.1,"MSFO01000001.1 Aspergillus steynii IBT 23096 P170scaffold_1, whole genome shotgun sequence"
GCA_002850765.1,"KZ559496.1 Aspergillus taichungensis strain IBT 19404 unplaced genomic scaffold BDW42scaffold_1, whole genome shotgun sequence"
GCA_002851655.1,"NMXH01000001.1 Verticillium alfalfae strain PD683 PD683_scaffold1.1, whole genome shotgun sequence"
GCA_002851675.1,"NMXI01000001.1 Verticillium nubilum strain PD621 scaffold1.1, whole genome shotgun sequence"
GCA_002851695.1,"NMXK01000001.1 Verticillium tricorpus strain PD593 PD593_scaffold1.1, whole genome shotgun sequence"
GCA_002851715.1,"NMXL01000001.1 Verticillium klebahnii strain PD401 PD401_scaffold1.1, whole genome shotgun sequence"
GCA_002851755.1,"NMXM01000001.1 Verticillium zaregamsianum strain PD739 PD739_scaffold1.1, whole genome shotgun sequence"
GCA_002851775.1,"NMXN01000001.1 Verticillium isaacii strain PD618 PD618_scaffold1.1, whole genome shotgun sequence"
GCA_002865625.1,"KZ613464.1 Pezoloma ericae strain UAMH 7357 unplaced genomic scaffold NA56scaffold_1, whole genome shotgun sequence"
GCA_002865645.1,"KZ613731.1 Meliniomyces bicolor E unplaced genomic scaffold K444scaffold_1, whole genome shotgun sequence"
GCA_002865655.1,"KZ613937.1 Meliniomyces variabilis F unplaced genomic scaffold L207scaffold_1, whole genome shotgun sequence"
GCA_002866905.1,"ANOW01000001.1 Pyricularia grisea W98-20 Contig_1, whole genome shotgun sequence"
GCA_002871045.1,"KZ614030.1 Magnaporthe grisea W97-11 unplaced genomic scaffold Scaffold_1, whole genome shotgun sequence"
GCA_002873125.1,"PGCI01000001.1 Puccinia coronata f. sp. avenae isolate 12SD80 000000F, whole genome shotgun sequence"
GCA_002891385.1,"PDDO01000278.1 Serpula lacrymans var. shastensis strain SHA17-1 scf_0001, whole genome shotgun sequence"
GCA_002893705.1,"NXHC01000110.1 Metschnikowia drosophilae strain UWOPS83-1143.1 M_dro_a_c1589, whole genome shotgun sequence"
GCA_002893725.1,"NXHD01000132.1 Metschnikowia torresii strain CBS 5152 M_torressii_c2347, whole genome shotgun sequence"
GCA_002894225.1,"MTQA01000001.1 Fusarium nygamai strain CS10214 CS10214_contig_1, whole genome shotgun sequence"
GCA_002894445.1,"LPNK01000115.1 Metschnikowia sp. AWRI3582 Contig_100, whole genome shotgun sequence"
GCA_002895615.1,"JNNM01000001.1 Saccharomycopsis sp. UWO(PS) 91-127.1 scaffold_0.0, whole genome shotgun sequence"
GCA_002895985.1,"NKHZ01000023.1 Sphaceloma murrayae strain CQ-2017a C93820, whole genome shotgun sequence"
GCA_002901185.1,"NRSZ01000551.1 Tolypocladium capitatum strain CBS 113982 NODE_1000_length_45217_cov_91.330315, whole genome shotgun sequence"
GCA_002909645.1,"PDUE01000001.1 Monilinia polystroma strain SP-61 Contig_1, whole genome shotgun sequence"
GCA_002911195.1,"LMTV01000001.1 Pseudonectria foliicola strain AR2711 AR2711_(orphans)_contig_1, whole genome shotgun sequence"
GCA_002911495.1,"PPUV01000100.1 Spathaspora sp. UFMG-CM-Y6060 NODE_100_length_37659_cov_32.8692, whole genome shotgun sequence"
GCA_002914405.1,"PNEM01000010.1 Byssochlamys sp. AF001 NODE_10_length_589216_cov_41.468, whole genome shotgun sequence"
GCA_002916415.1,"NBSA01000001.1 Talaromyces borbonicus strain SV-2017a Contig0000001, whole genome shotgun sequence"
GCA_002916455.1,"PKQL01000001.1 Penicillium sp. CF05 scaffold_0, whole genome shotgun sequence"
GCA_002916505.1,"PKSG01000593.1 Tolypocladium paradoxum strain NRBC 100945 NODE_10008_length_332_cov_60.150604, whole genome shotgun sequence"
GCA_002916945.1,"PCFI01000060.1 MAG: Eurotiomycetes sp. isolate CG19_WC_8_21_14_NA_150_52_20 CG19_WC_8_21_14_NA_150_scaffold_100, whole genome shotgun sequence"
GCA_002917075.1,"NTMA01000001.1 Hawksworthiomyces lignivorus strain CBS 119148 scaffold_1, whole genome shotgun sequence"
GCA_002917775.1,"KZ627146.1 Glaciozyma antarctica PI12 unplaced genomic scaffold scaffold_01, whole genome shotgun sequence"
GCA_002918395.1,"PEDP01000001.1 Erysiphe pulchra isolate Cflorida contig_1, whole genome shotgun sequence"
GCA_002921095.1,"PEGC01000001.1 Cladosporium sp. SL-16 contig1, whole genome shotgun sequence"
GCA_002922495.1,"PJQD01000001.1 Rhodotorula taiwanensis strain MD1149 RTAI_MD1149_contig_1, whole genome shotgun sequence"
GCA_002925815.1,"MJMR01000001.1 Thielaviopsis punctulata strain CMW 1032 Contig0000001, whole genome shotgun sequence"
GCA_002927005.1,"PIJX01000001.1 Aspergillus pseudoterreus strain ATCC 32359 a_pseudoterreus_ATCC32359_contig_1, whole genome shotgun sequence"
GCA_002927785.1,"NAPT01001000.1 Cladonia uncialis strain Normore 8774 NODE_1000_length_7761_cov_56.049193, whole genome shotgun sequence"
GCA_002933655.1,"PNEN01000580.1 Cercospora berteroae strain CBS538.71 Cbert_1_C288112, whole genome shotgun sequence"
GCA_002938355.1,"NHTK01000001.1 Panaeolus cyanescens strain 2629 scaffold1, whole genome shotgun sequence"
GCA_002938375.1,"NHYD01003446.1 Psilocybe cyanescens strain 2631 C389055, whole genome shotgun sequence"
GCA_002938385.1,"NHYE01000001.1 Gymnopilus dilepis strain SRW20 scaffold1, whole genome shotgun sequence"
GCA_002938945.1,"PTPU01000480.1 Monilinia laxa strain 8L scaffold1, whole genome shotgun sequence"
GCA_002939055.1,"PNEP01000025.1 Hypocreales sp. Mo6-1 Mo6_0, whole genome shotgun sequence"
GCA_002941045.1,"PGUU01000046.1 Sporothrix schenckii strain SsMS1 SsMS1_v1_scaffold_1, whole genome shotgun sequence"
GCA_002946385.1,"NJPR01000001.1 Rutstroemia sp. NJR-2017a WRK4 Contig_1, whole genome shotgun sequence"
GCA_002946415.1,"NJPS01000001.1 Rutstroemia sp. NJR-2017a BVV2 Contig_1, whole genome shotgun sequence"
GCA_002946425.1,"NJPT01000001.1 Rutstroemia sp. NJR-2017a BBW Contig_1, whole genome shotgun sequence"
GCA_002952155.1,"CP022024.1 Alternaria solani isolate NL03003 chromosome 1, complete sequence"
GCA_002954075.1,"CP025759.1 Cryptococcus gattii VGII R265 chromosome 1, complete sequence"
GCA_002964805.2,"PUDQ02000001.1 Trametes villosa isolate CCMB561 scf7180000000754, whole genome shotgun sequence"
GCA_002968875.1,"MWMN01000001.1 Cordyceps cicadae strain CC02 CCAD_Scf00001, whole genome shotgun sequence"
GCA_002973495.1,"PQXP01000525.1 Apiotrichum akiyoshidainum strain HP2023 Contig1, whole genome shotgun sequence"
GCA_002980475.2,"PVQB02000001.1 Fusarium beomiforme strain NRRL 25174 NRRL25174_c0000001, whole genome shotgun sequence"
GCA_002980515.1,"PVQA01000001.1 Fusarium burgessii strain NRRL 66654 Fspec_KOD1446b_contig_0000001, whole genome shotgun sequence"
GCA_002982035.1,"PVPY01000001.1 Fusarium algeriense strain NRRL 66648 Fusarium_sp_1248(KOD)_contig_0000001, whole genome shotgun sequence"
GCA_002982235.1,"PQMW01000100.1 Curvularia geniculata strain W3 NODE_100_length_93323_cov_25.9169, whole genome shotgun sequence"
GCA_002989075.1,"PSQN01000017.1 Arthonia radiata strain EZ20314 scaffold_0, whole genome shotgun sequence"
GCA_002994015.1,"POSS01000100.1 Cercospora nicotianae strain CBS 131.32 NODE_100_length_89674_cov_0.848317, whole genome shotgun sequence"
GCA_002994785.1,"PDUQ01000001.1 Heterobasidion parviporum strain 96026 scaffold1, whole genome shotgun sequence"
GCA_002994995.1,"PVXV01000001.1 Rhizopogon hawkerae strain AM-Trappe36296 contig17, whole genome shotgun sequence"
GCA_002995095.1,"PVYJ01000001.1 Rhizopogon sp. AM-2018a strain AM-CA11-027 contig14, whole genome shotgun sequence"
GCA_002995115.1,"PVYH01000001.1 Rhizopogon vesiculosus strain AM-CA13-008-8 contig8, whole genome shotgun sequence"
GCA_002995155.1,"PVYA01000001.1 Rhizopogon parksii strain AM-OR11-059 contig1, whole genome shotgun sequence"
GCA_002995175.1,"PVYB01000001.1 Rhizopogon rudus strain AM-MX12-062 contig2, whole genome shotgun sequence"
GCA_002995275.1,"PVYM01000001.1 Rhizopogon vinicolor strain AM-UT12-150b contig11, whole genome shotgun sequence"
GCA_002995295.1,"PVYP01000001.1 Rhizopogon vulgaris strain AM-UT12-125 contig31, whole genome shotgun sequence"
GCA_002995315.1,"PVYN01000001.1 Rhizopogon villosulus strain AM-UT12-148a contig1, whole genome shotgun sequence"
GCA_002995455.1,"PVYL01000001.1 Rhizopogon fuscorubens strain AM-Bonito1a contig18, whole genome shotgun sequence"
GCA_002995475.1,"PVYR01000001.1 Rhizopogon salebrosus strain AM-AZ12-036 contig3, whole genome shotgun sequence"
GCA_003004485.1,"PQMF01000001.1 Eurotiomycetes sp. MA 6039 contig00001, whole genome shotgun sequence"
GCA_003004525.2,"PQME02000001.1 Eurotiomycetes sp. MA 6038 contig00001, whole genome shotgun sequence"
GCA_003004685.1,"NXFQ01000001.1 Pseudozyma sp. F8B2 PSEUF8B2_1, whole genome shotgun sequence"
GCA_003004715.1,"NXFR01000001.1 Moesziomyces sp. F5C1 PSEUF5C1_1, whole genome shotgun sequence"
GCA_003004725.1,"NXFS01000001.1 Moesziomyces sp. F16C1 PSEUF16C1_1, whole genome shotgun sequence"
GCA_003008705.1,"PDUO01000001.1 Pezicula radicicola strain NRRL 12192 scaffold_0, whole genome shotgun sequence"
GCA_003011995.1,"NPNA01000001.1 Cryptococcus gattii VGII strain R265 tig00000000, whole genome shotgun sequence"
GCA_003012085.1,"PXNZ01000001.1 Trichoderma brevicompactum strain IBT 40841 IBT40841_c0000001, whole genome shotgun sequence"
GCA_003012105.1,"PXOA01000001.1 Trichoderma arundinaceum strain IBT 40837 IBT40837_c0000001, whole genome shotgun sequence"
GCA_003012115.1,"PXOB01000001.1 Trichothecium sympodiale strain DAOM 209012 DAOM209012_c0000001, whole genome shotgun sequence"
GCA_003012165.1,"PXOD01000001.1 Paramyrothecium roridum strain NRRL 2183 NRRL2183_c0000001, whole genome shotgun sequence"
GCA_003012185.1,"PXNY01000001.1 Trichothecium roseum strain DAOM 195227 DAOM195227_c0000001, whole genome shotgun sequence"
GCA_003012195.1,"PXOC01000001.1 Trichothecium ovalisporum strain DAOM 186447 DAOM186447_c0000001, whole genome shotgun sequence"
GCA_003012245.1,"PXOE01000001.1 Microcyclospora tardicrescens strain HJS1936 HJS1936_c0000001, whole genome shotgun sequence"
GCA_003012965.1,"MUZH01000001.1 Juglanconis oblonga isolate AR4414 contig0001, whole genome shotgun sequence"
GCA_003012975.1,"MUZJ01000001.1 Juglanconis juglandina strain CBS 121083 contig14398a, whole genome shotgun sequence"
GCA_003013035.1,"MUZL01001583.1 Ophiognomonia clavigignenti-juglandacearum strain ATCC 36624 contig1, whole genome shotgun sequence"
GCA_003013045.1,"PQBJ01000001.1 Pyricularia pennisetigena strain PM1 Pm1_contig1, whole genome shotgun sequence"
GCA_003013055.1,"MUZK01000001.1 Juglanconis sp. DMW523 0004471a, whole genome shotgun sequence"
GCA_003016335.1,"KZ678128.1 Corynespora cassiicola Philippines unplaced genomic scaffold BS50scaffold_1, whole genome shotgun sequence"
GCA_003019875.1,"KZ679006.1 Amorphotheca resinae ATCC 22711 unplaced genomic scaffold M430scaffold_1, whole genome shotgun sequence"
GCA_003019895.1,"KZ678372.1 Coniella lustricola strain B22-T-1 unplaced genomic scaffold BD289scaffold_1, whole genome shotgun sequence"
GCA_003020785.1,"PTXO01000001.1 Hanseniaspora gamundiae strain CRUB 1928 scaffold_1, whole genome shotgun sequence"
GCA_003025095.1,"KZ679675.1 Trichoderma harzianum CBS 226.95 unplaced genomic scaffold M431scaffold_1, whole genome shotgun sequence"
GCA_003025105.1,"KZ679256.1 Trichoderma asperellum CBS 433.97 unplaced genomic scaffold M441scaffold_1, whole genome shotgun sequence"
GCA_003025115.1,"KZ680207.1 Trichoderma citrinoviride strain TUCIM 6016 unplaced genomic scaffold BBK36scaffold_1, whole genome shotgun sequence"
GCA_003025155.1,"KZ679126.1 Trichoderma longibrachiatum ATCC 18648 unplaced genomic scaffold M440scaffold_1, whole genome shotgun sequence"
GCA_003025255.1,"LUFD01000001.1 Cordyceps pruinosa strain KACC 44470 contig_1, whole genome shotgun sequence"
GCA_003031705.1,"NAGG01000001.1 Calonectria naviculata strain CBS 101121 contig_1, whole genome shotgun sequence"
GCA_003032515.1,"NETU01000001.1 Huntiella decipiens strain CMW30855 Contig_0000001, whole genome shotgun sequence"
GCA_003033435.1,"PEOD01000312.1 Starmerella magnoliae strain PYCC 2903 NODE_1000_length_1221_cov_47.239967, whole genome shotgun sequence"
GCA_003033605.1,"PEKG01000116.1 Zygosaccharomyces kombuchaensis strain CBS 8849 NODE_1003_length_447_cov_51.080536, whole genome shotgun sequence"
GCA_003045245.1,"PPSZ01001131.1 Wickerhamiella galacta strain NRRL Y-17645 NODE_1000_length_403_cov_0.852941_ID_21825, whole genome shotgun sequence"
GCA_003049395.1,"PYSP01000001.1 Pseudohalonectria lignicola strain M95 scaffold1, whole genome shotgun sequence"
GCA_003049425.1,"PYSR01000001.1 Magnaporthiopsis incrustans strain M35 scaffold1, whole genome shotgun sequence"
GCA_003049435.1,"PYSQ01000001.1 Nakataea oryzae strain M69 scaffold1, whole genome shotgun sequence"
GCA_003049465.1,"PYSS01000001.1 Magnaporthiopsis rhizophila strain M23 scaffold1, whole genome shotgun sequence"
GCA_003049485.1,"PYST01000001.1 Ophioceras dolichostomum strain CBS 114926 scaffold1, whole genome shotgun sequence"
GCA_003054985.1,"MWVB01001001.1 Leucosporidium scottii strain PYCC 4405 NODE_1000_length_384_cov_39.6364_ID_1999, whole genome shotgun sequence"
GCA_003055165.1,"NIGC01000001.1 Escovopsis sp. Ae724 Esco_Ae274_AS4_SC01, whole genome shotgun sequence"
GCA_003055185.1,"NIGD01000001.1 Escovopsis sp. TC Esco_Tcornetzi_AS4_SC01, whole genome shotgun sequence"
GCA_003055925.1,"NQYQ01000001.1 Escovopsis sp. Ae720 Esco_Ae720_AS2_SC001, whole genome shotgun sequence"
GCA_003055945.1,"NQYR01000001.1 Escovopsis sp. Ae733 Esco_Ae733_AS2_SC01, whole genome shotgun sequence"
GCA_003055955.1,"NQYS01000001.1 Escovopsis sp. AC Esco_Acolombica_AS2_SC01, whole genome shotgun sequence"
GCA_003056565.1,"PXYM01000001.1 Lecanicillium sp. MT-2017a strain CA13 CA13_418, whole genome shotgun sequence"
GCA_003057275.1,"PYSH01000001.1 Ganoderma tsugae strain s90 Scaffold1, whole genome shotgun sequence"
GCA_003057935.1,"PZQQ01000001.1 Hemileia vastatrix HvCat contig_1, whole genome shotgun sequence"
GCA_003070745.1,"NESQ01000001.1 Tuber borchii strain Tbo3840 B9Z19scaffold_1, whole genome shotgun sequence"
GCA_003073195.1,"PEKF01000084.1 Ramalina intermedia strain YAF0013 NODE_100_length_79778_cov_103.939, whole genome shotgun sequence"
GCA_003073295.1,"KZ803280.1 Serendipita vermifera 'subsp. bescii' strain NFPB0129 unplaced genomic scaffold CPB86scaffold_1, whole genome shotgun sequence"
GCA_003073855.1,"KZ805300.1 Periconia macrospinosa strain DSE2036 unplaced genomic scaffold DM02scaffold_1, whole genome shotgun sequence"
GCA_003086715.1,"MBFS01000001.1 Smittium megazygosporum strain SC-DP-2 scaffold-0, whole genome shotgun sequence"
GCA_003086725.1,"MBFT01000001.1 Furculomyces boomerangus strain AUS-77-4 scaffold-0, whole genome shotgun sequence"
GCA_003086735.1,"MBFR01000001.1 Smittium simulii strain SWE-8-4 Ssim_Scaff_1, whole genome shotgun sequence"
GCA_003097675.1,"MBFU01000001.1 Smittium angustum strain AUS-126-30 scaffold-0, whole genome shotgun sequence"
GCA_003116535.1,"QEIL01000001.1 Paecilomyces niveus strain Cornell orchards no. 7 scaffold_0, whole genome shotgun sequence"
GCA_003116875.1,"BCKT01000001.1 Takashimella koratensis DNA, scaffold: scaffold_0, strain: JCM 12878, whole genome shotgun sequence"
GCA_003116915.1,"BCKS01000001.1 Takashimella tepidaria DNA, scaffold: scaffold_0, strain: JCM 11965, whole genome shotgun sequence"
GCA_003116955.1,"BCJT01000001.1 Cutaneotrichosporon mucoides DNA, scaffold: scaffold_0, strain: JCM 9939, whole genome shotgun sequence"
GCA_003122705.1,"QCWU01000001.1 Colletotrichum sp. JS-367 scaffold1, whole genome shotgun sequence"
GCA_003123885.1,"QBLJ01000099.1 Barnettozyma californica strain UCD89 NODE_100_length_12500_cov_69.118570, whole genome shotgun sequence"
GCA_003138025.1,"QAGI01000001.1 Penicillium sp. MA 6040 contig00001, whole genome shotgun sequence"
GCA_003138035.1,"QAGH01000001.1 Aspergillus sp. MA 6037 contig00001, whole genome shotgun sequence"
GCA_003138045.1,"QAGG01000001.1 Penicillium sp. MA 6036 contig00001, whole genome shotgun sequence"
GCA_003144115.1,"KZ819283.1 Tilletiopsis washingtonensis strain MCA 4186 unplaced genomic scaffold FA09scaffold_1, whole genome shotgun sequence"
GCA_003144125.1,"KZ819188.1 Testicularia cyperi strain MCA 3645 unplaced genomic scaffold BCV70scaffold_1, whole genome shotgun sequence"
GCA_003144135.1,"KZ819321.1 Pseudomicrostroma glucosiphilum strain MCA 4718 unplaced genomic scaffold BCV69scaffold_1, whole genome shotgun sequence"
GCA_003144195.1,"KZ819351.1 Ceraceosorus guamensis strain MCA 4658 unplaced genomic scaffold IE81scaffold_1, whole genome shotgun sequence"
GCA_003144205.1,"KZ819602.1 Meira miltonrushii strain MCA 3882 unplaced genomic scaffold FA14scaffold_1, whole genome shotgun sequence"
GCA_003144235.1,"KZ819683.1 Ustilaginomycotina sp. SA 807 unplaced genomic scaffold IE53scaffold_1, whole genome shotgun sequence"
GCA_003144245.1,"KZ819662.1 Jaminaea rosea strain MCA 5214 unplaced genomic scaffold BDZ90scaffold_1, whole genome shotgun sequence"
GCA_003144295.1,"KZ819634.1 Acaromyces ingoldii strain MCA 4198 unplaced genomic scaffold FA10scaffold_1, whole genome shotgun sequence"
GCA_003144605.1,"LCWV01000001.1 Purpureocillium lilacinum strain 36-1 Scf_1, whole genome shotgun sequence"
GCA_003182015.1,"PYWC01000001.1 Tuber magnatum isolate 091103-1 scaffold0, whole genome shotgun sequence"
GCA_003184285.1,"CM009898.1 Monascus purpureus strain YY-1 chromosome I, whole genome shotgun sequence"
GCA_003184365.1,"NKYR01000001.1 Evernia prunastri strain FR SP7-11 epruFC1, whole genome shotgun sequence"
GCA_003184525.1,"MSFK01000001.1 Aspergillus sclerotioniger CBS 115572 BO94scaffold_1, whole genome shotgun sequence"
GCA_003184535.1,"MSFU01000001.1 Aspergillus eucalypticola CBS 122712 BO83scaffold_1, whole genome shotgun sequence"
GCA_003184545.1,"MSFL01000001.1 Aspergillus heteromorphus CBS 117.55 BO70scaffold_1, whole genome shotgun sequence"
GCA_003184585.1,"KZ821218.1 Aspergillus saccharolyticus JOP 1030-1 unplaced genomic scaffold BP01scaffold_1, whole genome shotgun sequence"
GCA_003184595.1,"KZ821338.1 Aspergillus lacticoffeatus CBS 101883 unplaced genomic scaffold BO96scaffold_1, whole genome shotgun sequence"
GCA_003184625.1,"KZ821445.1 Aspergillus neoniger CBS 115656 unplaced genomic scaffold BO87scaffold_1, whole genome shotgun sequence"
GCA_003184635.1,"KZ826315.1 Aspergillus sclerotiicarbonarius CBS 121057 unplaced genomic scaffold BO78scaffold_1, whole genome shotgun sequence"
GCA_003184645.1,"KZ825797.1 Aspergillus ellipticus CBS 707.79 unplaced genomic scaffold BO71scaffold_1, whole genome shotgun sequence"
GCA_003184685.1,"KZ825463.1 Aspergillus indologenus CBS 114.80 unplaced genomic scaffold BP00scaffold_1, whole genome shotgun sequence"
GCA_003184695.1,"KZ825310.1 Aspergillus brunneoviolaceus CBS 621.78 unplaced genomic scaffold BO95scaffold_1, whole genome shotgun sequence"
GCA_003184705.1,"KZ825101.1 Aspergillus violaceofuscus CBS 115571 unplaced genomic scaffold BO99scaffold_1, whole genome shotgun sequence"
GCA_003184745.1,"KZ821674.1 Aspergillus uvarum CBS 121591 unplaced genomic scaffold BO82scaffold_1, whole genome shotgun sequence"
GCA_003184755.1,"KZ825054.1 Aspergillus piperis CBS 112811 unplaced genomic scaffold BO85scaffold_1, whole genome shotgun sequence"
GCA_003184765.1,"KZ824933.1 Aspergillus aculeatinus CBS 121060 unplaced genomic scaffold BO66scaffold_1, whole genome shotgun sequence"
GCA_003184785.1,"KZ824770.1 Aspergillus japonicus CBS 114.51 unplaced genomic scaffold BO86scaffold_1, whole genome shotgun sequence"
GCA_003184825.1,"KZ824621.1 Aspergillus fijiensis CBS 313.89 unplaced genomic scaffold BO72scaffold_1, whole genome shotgun sequence"
GCA_003184835.1,"KZ824535.1 Aspergillus costaricaensis CBS 115574 unplaced genomic scaffold BO79scaffold_1, whole genome shotgun sequence"
GCA_003184845.1,"KZ824419.1 Aspergillus ibericus CBS 121593 unplaced genomic scaffold BO80scaffold_1, whole genome shotgun sequence"
GCA_003184865.1,"KZ824267.1 Aspergillus homomorphus CBS 101889 unplaced genomic scaffold BO97scaffold_1, whole genome shotgun sequence"
GCA_003184925.1,"KZ821614.1 Aspergillus vadensis CBS 113365 unplaced genomic scaffold BO88scaffold_1, whole genome shotgun sequence"
GCA_003231415.2,"MUXC02000001.1 Pyrenophora tritici-repentis strain DW5 chromosome 1 DW5_contig_00001, whole genome shotgun sequence"
GCA_003243035.1,"NHAO01000001.1 Nakazawaea wickerhamii strain NRRL Y-2563 flattened_line_0, whole genome shotgun sequence"
GCA_003243065.1,"NHAL01000375.1 Saturnispora dispora strain NRRL Y-1447 NODE_100_length_3673_cov_55.0358_ID_199, whole genome shotgun sequence"
GCA_003243755.1,"QCWT01000001.1 Pleurotus tuoliensis strain JKBL130LB Contig_1, whole genome shotgun sequence"
GCA_003260565.1,"QKRW01000001.1 Monilinia fructigena strain Mfrg269 scaffold_001, whole genome shotgun sequence"
GCA_003263905.1,"MZZH01000001.1 Phellinidium pouzarii strain IHI569 contig1, whole genome shotgun sequence"
GCA_003268315.1,"QGDG01000002.1 Stemphylium lycopersici strain CIDEFI 212 scaffold_1, whole genome shotgun sequence"
GCA_003268435.1,"LVWR01000001.1 Rhizoctonia solani AG-3 PT strain RS-20 contig00001, whole genome shotgun sequence"
GCA_003313055.1,"QGOB01000892.1 Termitomyces sp. MG145 scaffold1000_cov264, whole genome shotgun sequence"
GCA_003313065.1,"QGOD01000792.1 Sarcodon sp. MG97 scaffold1000_cov232, whole genome shotgun sequence"
GCA_003313075.1,"QGOA01000001.1 Termitomyces sp. MG16 scaffold1_cov85, whole genome shotgun sequence"
GCA_003313155.1,"QGOH01000001.1 Boletus sp. MG95 scaffold1_cov205, whole genome shotgun sequence"
